kind	anchor	scope	count
rs-line	permission.rs:181-196	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:205-229	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:234-245	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:256-258	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:260-267	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:269-315	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:29-32	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:322-325	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:327-337	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:339-344	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:346-379	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:47-54	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:59-62	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:69-177	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:78-80	packages/agent/src/harness/permission.ts	1
rs-line	permission.rs:83-96	packages/agent/src/harness/permission.ts	1
rs-line	prompt_templates.rs:108-114	packages/agent/src/harness/prompt-templates.ts	1
rs-line	prompt_templates.rs:137-148	packages/agent/src/harness/prompt-templates.ts	1
rs-line	prompt_templates.rs:18-51	packages/agent/src/harness/prompt-templates.ts	1
rs-line	prompt_templates.rs:43-46	packages/agent/src/harness/prompt-templates.ts	1
rs-line	prompt_templates.rs:74-96	packages/agent/src/harness/prompt-templates.ts	1
rs-line	crates/agent/src/harness/session/jsonl_repo.rs:34	packages/agent/src/harness/session/jsonl-repo.ts	1
rs-line	crates/agent/src/harness/session/jsonl_repo.rs:69	packages/agent/src/harness/session/jsonl-repo.ts	1
rs-line	crates/coding-agent/src/config.rs:33-38	packages/agent/src/harness/session/jsonl-repo.ts	1
rs-line	crates/agent/src/harness/session/jsonl_storage.rs:167-176	packages/agent/src/harness/session/jsonl-storage.ts	1
rs-line	crates/agent/src/harness/session/jsonl_storage.rs:178-180	packages/agent/src/harness/session/jsonl-storage.ts	1
rs-line	crates/agent/src/harness/session/jsonl_storage.rs:207-236	packages/agent/src/harness/session/jsonl-storage.ts	1
rs-line	crates/agent/src/harness/session/jsonl_storage.rs:97-118	packages/agent/src/harness/session/jsonl-storage.ts	1
rs-line	jsonl_storage.rs:68-84	packages/agent/src/harness/session/jsonl-storage.ts	1
rs-line	crates/agent/src/harness/session/memory_storage.rs:60-62	packages/agent/src/harness/session/memory-storage.ts	1
rs-line	crates/agent/src/harness/session/memory_storage.rs:64-67	packages/agent/src/harness/session/memory-storage.ts	1
rs-line	crates/agent/src/harness/session/memory_storage.rs:73-78	packages/agent/src/harness/session/memory-storage.ts	1
rs-line	crates/agent/src/harness/session/memory_storage.rs:88-117	packages/agent/src/harness/session/memory-storage.ts	1
rs-line	jsonl_storage.rs:207-236	packages/agent/src/harness/session/memory-storage.ts	1
rs-line	crates/agent/src/harness/session/repo_utils.rs:45-49	packages/agent/src/harness/session/repo-utils.ts	1
rs-line	crates/agent/src/harness/session/repo_utils.rs:59-64	packages/agent/src/harness/session/repo-utils.ts	1
rs-line	crates/agent/src/harness/session/session.rs:418-432	packages/agent/src/harness/session/session.ts	1
rs-line	crates/agent/src/harness/session/session.rs:502	packages/agent/src/harness/session/session.ts	1
rs-line	crates/agent/src/harness/session/session.rs:584	packages/agent/src/harness/session/session.ts	1
rs-line	harness/types.rs:294-304	packages/agent/src/harness/skills.ts	1
rs-line	harness/types.rs:298-303	packages/agent/src/harness/skills.ts	1
rs-line	skills.rs:107-236	packages/agent/src/harness/skills.ts	1
rs-line	skills.rs:166	packages/agent/src/harness/skills.ts	1
rs-line	skills.rs:226-236	packages/agent/src/harness/skills.ts	1
rs-line	skills.rs:23-34	packages/agent/src/harness/skills.ts	1
rs-line	skills.rs:279-295	packages/agent/src/harness/skills.ts	1
rs-line	skills.rs:75-77	packages/agent/src/harness/skills.ts	1
rs-line	crates/agent/tests/skills_loader.rs:230-238	packages/agent/src/harness/system-prompt.ts	1
rs-line	system_prompt.rs:18-37	packages/agent/src/harness/system-prompt.ts	1
